property_size,longitude,latitude,total_floor,BHK_type_encoded,bathroom,locality_encoded,furnishing_encoded,floor,parking_encoded
1450.0,77.74897675,12.98469043,2.0,2,3.0,775,2,1.0,0
500.0,77.66346768,12.96773506,3.0,0,1.0,787,2,3.0,2
700.0,77.57910077,12.94006302,4.0,1,2.0,124,2,3.0,2
2210.0,77.57770932,12.92522043,3.0,2,4.0,361,2,3.0,0
650.0,77.61724176,12.94226775,3.0,0,1.0,438,2,2.0,0
700.0,77.57479098,12.91145677,2.0,0,1.0,330,2,1.0,2
1200.0,77.65341934,12.91647908,3.0,1,2.0,273,2,0.0,0
500.0,77.67014638,12.96768981,3.0,0,1.0,466,2,2.0,3
1024.0,77.53194987,12.96497438,3.0,1,2.0,763,2,3.0,0
1100.0,77.65714007,12.958964,3.0,2,3.0,525,1,1.0,0
1200.0,77.58245626,12.93319449,1.0,1,2.0,364,2,0.0,0
800.0,77.70183564,12.91441122,3.0,0,1.0,211,2,3.0,0
1725.0,77.66986084,12.92840099,9.0,2,3.0,135,2,2.0,1
1000.0,77.59343992,12.91407526,1.0,1,1.0,330,2,0.0,3
1400.0,77.70702362,12.95678902,11.0,1,3.0,499,0,7.0,0
1150.0,77.61014513,12.93079451,5.0,1,2.0,710,2,2.0,1
1500.0,77.54279249,12.90983903,3.0,2,2.0,734,2,1.0,0
600.0,77.64136415,12.96247074,2.0,1,2.0,223,2,0.0,3
650.0,77.58134029,12.95511779,2.0,1,2.0,505,2,1.0,3
1000.0,77.55339576,12.92329756,4.0,2,2.0,102,2,1.0,0
500.0,77.70357014,12.94720492,4.0,0,1.0,499,2,2.0,3
1375.0,77.58671249,12.90281464,4.0,2,2.0,337,2,3.0,0
1200.0,77.7580827,12.9905542,8.0,1,2.0,61,2,6.0,0
1100.0,77.64865189,12.97242357,5.0,1,2.0,559,2,2.0,0
1100.0,77.5851042,12.91116193,3.0,1,2.0,25,2,2.0,3
800.0,77.52505254,12.98904758,2.0,1,2.0,403,1,2.0,3
1350.0,77.7144704,12.9729277,8.0,1,2.0,226,2,1.0,0
450.0,77.64170886,12.90521184,4.0,0,1.0,273,2,0.0,3
600.0,77.56155707,12.93618136,2.0,1,1.0,102,1,1.0,3
1100.0,77.71447657,12.95074009,4.0,1,2.0,520,2,2.0,0
950.0,77.68226486,12.96745235,3.0,1,2.0,123,2,0.0,3
1200.0,77.60426424,12.95805194,3.0,1,2.0,475,0,1.0,1
1250.0,77.5857168,12.910491,4.0,1,2.0,337,2,3.0,0
850.0,77.66513548,12.97058628,2.0,1,1.0,395,2,2.0,3
1270.0,77.59940052,12.92809721,3.0,2,3.0,361,2,1.0,0
1900.0,77.54922859,12.93041723,3.0,2,3.0,102,2,2.0,3
950.0,77.54209567,12.91943594,0.0,1,1.0,305,2,0.0,3
1200.0,77.56272603,12.99527919,2.0,1,3.0,533,2,2.0,2
1250.0,77.54033861,12.92684071,5.0,1,2.0,199,2,4.0,0
1100.0,77.75462468,12.96787692,3.0,1,1.0,775,2,0.0,3
610.0,77.61947637,12.94231828,3.0,0,1.0,445,1,3.0,3
1000.0,77.67719985,12.99226524,2.0,1,2.0,484,2,1.0,3
1500.0,77.75814886,12.97619457,5.0,2,3.0,775,2,2.0,0
1000.0,77.548772,12.92928456,2.0,1,2.0,102,2,0.0,3
1150.0,77.62061699,12.90319535,3.0,1,1.0,149,2,0.0,3
1100.0,77.59545715,12.90584341,3.0,1,2.0,339,2,1.0,0
1000.0,77.51139174,12.9113178,3.0,1,2.0,603,0,2.0,0
900.0,77.63089266,12.9346083,2.0,1,1.0,438,2,0.0,3
800.0,77.7001515,12.95863179,3.0,1,1.0,499,2,1.0,3
2666.0,77.662028,12.9285022,13.0,2,4.0,315,2,10.0,0
1000.0,77.6326668,12.9019339,4.0,1,2.0,497,2,4.0,0
400.0,77.56878868,12.93273199,3.0,0,1.0,722,2,1.0,3
700.0,77.56711031,12.95257225,1.0,1,1.0,421,2,1.0,3
600.0,77.65059042,12.96969237,2.0,0,1.0,557,2,1.0,3
1276.0,77.73999786,12.97999954,3.0,1,2.0,776,2,1.0,0
800.0,77.60218213,12.94198012,2.0,1,1.0,470,2,2.0,3
1630.0,77.7026845,12.9923765,19.0,2,3.0,248,2,1.0,0
600.0,77.59625857,12.92756539,3.0,1,1.0,361,2,0.0,3
450.0,77.57578046,12.96135979,1.0,0,1.0,387,1,1.0,2
700.0,77.58049671,12.90396686,3.0,1,2.0,337,1,2.0,2
950.0,77.52496309,12.96402028,2.0,1,2.0,762,2,0.0,0
1458.0,77.6675657,12.99322847,4.0,2,3.0,484,2,2.0,0
1450.0,77.62305095,12.91127661,5.0,2,3.0,625,2,3.0,0
1248.0,77.7411625,12.969642,5.0,1,2.0,548,2,1.0,0
1100.0,77.6212956,12.90772596,2.0,1,3.0,628,2,1.0,3
2400.0,77.64912755,12.90780296,0.0,2,3.0,651,0,0.0,0
1585.0,77.7179071,12.9970222,4.0,2,3.0,74,2,4.0,0
600.0,77.66538642,12.9715213,3.0,0,1.0,158,2,3.0,3
1200.0,77.7072909,12.9549251,2.0,1,2.0,243,2,0.0,3
500.0,77.67218245,12.99659719,3.0,0,1.0,484,2,2.0,3
600.0,77.6080472,12.9068504,2.0,0,1.0,86,2,1.0,3
1564.0,77.68433087,12.91132625,20.0,2,2.0,398,0,14.0,1
600.0,77.67410754,12.98879856,1.0,1,1.0,729,2,1.0,3
650.0,77.5863665,12.91105041,2.0,1,1.0,337,2,2.0,3
1300.0,77.6096914,12.9383132,10.0,1,2.0,185,2,0.0,1
1740.0,77.6287662,12.9809108,4.0,2,3.0,527,2,1.0,0
1100.0,77.58558298,12.90574677,2.0,1,2.0,343,2,0.0,3
1200.0,77.65182742,12.97249928,2.0,1,2.0,557,2,1.0,0
1000.0,77.71916292,12.99594889,3.0,1,1.0,300,2,3.0,0
1205.0,77.612038,12.9224372,4.0,1,2.0,21,2,0.0,0
850.0,77.67482708,12.97066723,2.0,1,2.0,766,2,1.0,3
1750.0,77.71476272,12.97319664,5.0,2,3.0,151,2,1.0,0
2200.0,77.6502639,12.9682741,2.0,3,4.0,270,2,2.0,0
1750.0,77.58033074,12.93770078,4.0,2,3.0,361,2,1.0,3
1800.0,77.53222884,12.98230355,0.0,3,4.0,762,2,0.0,0
1200.0,77.54381393,12.9025355,5.0,1,2.0,734,2,4.0,0
1200.0,77.7244923,12.9998457,6.0,1,2.0,431,2,1.0,0
1010.0,77.67741108,12.97994846,4.0,1,2.0,395,2,4.0,1
1500.0,77.7148376,12.9712301,3.0,2,3.0,151,2,2.0,0
1200.0,77.59247946,12.91005454,1.0,1,1.0,337,2,1.0,3
750.0,77.5057732,12.97172814,4.0,1,2.0,536,2,1.0,3
1185.0,77.7088027,12.9836103,4.0,1,2.0,662,2,2.0,0
700.0,77.59861527,12.92974519,3.0,0,1.0,633,2,1.0,0
1150.0,77.71591757,12.95066522,4.0,1,2.0,520,2,1.0,3
500.0,77.61510006,12.91619111,3.0,0,1.0,89,2,2.0,3
1350.0,77.518582,12.9021902,5.0,2,3.0,172,1,1.0,0
450.0,77.6937706,12.9797323,1.0,0,1.0,214,1,1.0,0
1300.0,77.71232037,12.9660252,5.0,1,2.0,151,2,1.0,0
750.0,77.61051582,12.91616973,4.0,0,1.0,90,2,0.0,3
800.0,77.71073884,12.9436556,4.0,0,1.0,520,2,1.0,3
1000.0,77.54896584,12.92381065,1.0,1,2.0,102,2,0.0,2
500.0,77.61082456,12.92810744,1.0,0,1.0,178,2,1.0,3
1800.0,77.7029137,12.9040772,7.0,2,3.0,212,2,5.0,0
500.0,77.70355639,12.94713066,4.0,0,1.0,499,2,2.0,3
1385.0,77.76199359,12.98351679,5.0,1,2.0,775,0,4.0,1
1482.0,77.72832602,12.98806222,18.0,1,2.0,714,0,14.0,0
1000.0,77.68267325,12.96875925,3.0,1,2.0,123,0,3.0,0
850.0,77.6771808,12.9827609,3.0,1,1.0,395,2,3.0,3
1081.0,77.67727222,12.9142869,4.0,1,2.0,788,0,3.0,0
1000.0,77.67729338,12.99640111,3.0,0,1.0,75,2,3.0,3
500.0,77.5191195,12.9242199,3.0,0,1.0,613,2,1.0,3
1500.0,77.57539244,12.99274096,2.0,3,2.0,668,2,0.0,0
900.0,77.5463577,12.9420948,1.0,1,1.0,102,2,1.0,1
1500.0,77.54097969,12.99963445,3.0,1,2.0,128,2,1.0,3
1600.0,77.54979732,12.98426932,1.0,2,2.0,604,2,0.0,0
1750.0,77.51233029,12.96056617,2.0,2,3.0,539,2,1.0,0
1200.0,77.66501587,12.97087919,1.0,1,2.0,559,2,1.0,0
500.0,77.51623484,12.91951706,3.0,0,1.0,597,2,1.0,0
1515.0,77.63643323,12.93151943,3.0,2,3.0,438,2,1.0,0
1180.0,77.69612248,12.90334043,4.0,1,2.0,211,2,1.0,0
1147.0,77.75543798,12.98264054,8.0,1,2.0,775,2,7.0,0
1800.0,77.6534629,12.9562593,4.0,2,2.0,525,2,4.0,0
600.0,77.7049685,12.9482688,4.0,1,2.0,499,2,1.0,0
1200.0,77.54645393,12.92095357,2.0,2,2.0,104,2,0.0,0
985.0,77.64591259,12.9606249,5.0,1,2.0,432,2,3.0,0
900.0,77.50912628,12.91087106,4.0,1,2.0,597,2,1.0,0
500.0,77.54542714,12.93712311,2.0,0,1.0,251,2,2.0,3
600.0,77.63283187,12.91117063,3.0,0,1.0,282,2,3.0,3
575.0,77.68452907,12.9679302,4.0,0,1.0,754,2,4.0,0
1180.0,77.70994931,12.9606189,4.0,1,2.0,151,2,0.0,0
800.0,77.64614857,12.98150797,3.0,0,1.0,507,2,3.0,3
600.0,77.53466068,12.98356528,3.0,1,1.0,128,1,1.0,2
400.0,77.57450955,12.93380109,3.0,5,1.0,361,2,3.0,2
200.0,77.60565914,12.90514231,3.0,5,1.0,86,2,3.0,3
1200.0,77.53367009,12.97591772,1.0,1,2.0,257,2,0.0,0
900.0,77.70566253,12.90166577,3.0,1,2.0,181,2,3.0,3
1000.0,77.52919186,12.97194016,1.0,1,2.0,762,1,1.0,3
700.0,77.66088558,12.95814208,4.0,0,1.0,435,2,0.0,3
550.0,77.61121581,12.90523591,1.0,1,2.0,86,2,1.0,3
650.0,77.55560994,12.93867328,2.0,1,1.0,102,2,1.0,0
1100.0,77.70074059,12.97291323,5.0,1,2.0,218,2,4.0,1
1400.0,77.50958867,12.95808201,2.0,1,2.0,529,2,1.0,3
600.0,77.55731339,12.92876643,2.0,0,1.0,102,2,1.0,3
800.0,77.54615026,12.94604712,3.0,1,2.0,102,2,1.0,3
1610.0,77.512098,12.9314973,5.0,2,3.0,422,2,3.0,0
700.0,77.60817058,12.90729747,3.0,0,1.0,86,2,1.0,3
1750.0,77.60436487,12.90312151,12.0,2,3.0,145,2,3.0,0
1200.0,77.7122996,12.9629354,2.0,1,2.0,786,2,1.0,3
1047.0,77.7247772,12.9661682,16.0,1,2.0,464,2,0.0,0
400.0,77.68101176,12.9122199,1.0,0,1.0,409,2,0.0,3
900.0,77.54307368,12.97349129,2.0,1,1.0,762,2,2.0,3
1200.0,77.64733372,12.91864932,2.0,1,3.0,16,2,0.0,0
1225.0,77.647608,12.9081357,4.0,1,2.0,273,0,4.0,0
1200.0,77.53146799,12.97558839,2.0,1,2.0,762,1,0.0,1
350.0,77.5354295,12.976346,1.0,1,1.0,255,2,1.0,2
1460.0,77.738189,12.9667725,4.0,2,2.0,775,2,4.0,0
400.0,77.60498247,12.92938851,1.0,0,1.0,701,1,0.0,3
1000.0,77.56692994,12.94170749,2.0,1,2.0,124,2,2.0,1
2500.0,77.57317601,12.9357553,1.0,2,2.0,124,0,0.0,0
1000.0,77.72423037,12.99896098,3.0,1,2.0,300,2,3.0,0
1555.0,77.71751284,12.99157106,4.0,2,3.0,300,0,1.0,0
1200.0,77.6565744,12.9807869,0.0,1,2.0,701,2,0.0,0
1250.0,77.58564496,12.90379103,13.0,1,2.0,343,2,12.0,0
1000.0,77.70532803,12.95520655,4.0,1,2.0,520,2,2.0,3
1100.0,77.53611668,12.96359021,2.0,1,2.0,762,2,2.0,0
750.0,77.6539269,12.97235826,4.0,1,1.0,559,2,1.0,3
1700.0,77.722116,12.9220177,6.0,2,2.0,263,2,4.0,0
500.0,77.51190131,12.96124218,4.0,0,1.0,539,2,4.0,3
950.0,77.55170057,12.92931754,3.0,1,2.0,102,2,3.0,0
1250.0,77.57300316,12.98750782,3.0,2,3.0,668,0,1.0,0
1500.0,77.66844251,12.9916863,5.0,2,2.0,484,2,1.0,0
400.0,77.62419273,12.98645425,2.0,0,1.0,731,1,0.0,3
700.0,77.53401245,12.98666271,2.0,1,2.0,128,2,1.0,0
1050.0,77.70260681,12.94752716,5.0,1,2.0,499,2,2.0,0
440.0,77.76498955,12.99642343,3.0,0,1.0,393,2,3.0,3
1200.0,77.60219826,12.94190226,5.0,1,2.0,470,2,4.0,0
700.0,77.5731694,12.9075661,3.0,0,1.0,337,2,2.0,0
1200.0,77.5404459,12.9264538,2.0,1,1.0,199,2,0.0,3
150.0,77.65253196,12.91214111,4.0,5,1.0,273,2,0.0,0
600.0,77.60600857,12.92861334,2.0,0,1.0,701,2,2.0,3
1538.0,77.67231791,12.92751399,4.0,1,2.0,258,0,1.0,0
1200.0,77.7231568,12.9220588,4.0,1,2.0,262,2,0.0,1
1435.0,77.67680425,12.92541156,4.0,2,2.0,136,2,1.0,0
1100.0,77.56727201,12.93187451,3.0,1,2.0,124,2,0.0,3
1200.0,77.51809345,12.93663325,3.0,2,3.0,597,2,2.0,0
600.0,77.60295599,12.94280154,2.0,1,2.0,49,1,0.0,3
700.0,77.54730318,12.94508105,1.0,1,2.0,102,1,1.0,2
2100.0,77.70527318,12.96800475,4.0,2,4.0,187,2,4.0,0
450.0,77.64277974,12.90928893,2.0,0,1.0,273,2,2.0,2
1200.0,77.7556945,12.9790566,4.0,2,2.0,775,2,1.0,0
1050.0,77.67848969,12.99156998,3.0,0,1.0,484,2,3.0,3
750.0,77.54723946,12.9412161,2.0,1,2.0,112,2,1.0,3
1600.0,77.50510971,12.92303617,2.0,2,2.0,613,2,1.0,0
1185.0,77.73844147,12.96886635,4.0,1,2.0,776,2,0.0,0
750.0,77.5515434,12.9296103,2.0,1,2.0,102,2,2.0,0
1145.0,77.7569906,12.9780916,12.0,1,2.0,775,2,11.0,0
900.0,77.63178663,12.92817255,3.0,1,2.0,439,2,0.0,0
200.0,77.6197922,12.93457336,2.0,5,1.0,438,1,2.0,2
450.0,77.56731147,12.95546024,1.0,0,1.0,168,2,1.0,3
1100.0,77.56224009,12.9211758,1.0,2,2.0,102,2,0.0,3
1199.0,77.59133803,12.93575002,5.0,2,3.0,361,2,2.0,0
1089.0,77.53497674,12.99509626,2.0,1,2.0,128,2,2.0,0
1250.0,77.72430584,12.9395565,5.0,1,2.0,98,0,2.0,0
900.0,77.60634676,12.92597007,4.0,0,1.0,710,2,4.0,3
275.0,77.61356494,12.91235097,2.0,5,1.0,86,2,1.0,3
1000.0,77.65810164,12.99660164,1.0,2,2.0,138,2,0.0,0
950.0,77.62130461,12.91311486,4.0,1,2.0,86,2,2.0,0
700.0,77.75435328,12.96894612,2.0,1,2.0,775,2,2.0,3
1200.0,77.53549368,12.95522964,5.0,1,2.0,762,2,3.0,0
1601.0,77.68910417,12.98960493,0.0,2,3.0,484,0,0.0,0
1080.0,77.7554167,12.9655833,5.0,1,2.0,549,2,3.0,0
700.0,77.6151451,12.9248269,3.0,1,2.0,483,2,2.0,3
800.0,77.67319703,12.92679909,4.0,1,1.0,135,2,0.0,3
650.0,77.71354008,12.96435755,2.0,1,1.0,499,2,0.0,3
900.0,77.66990969,12.96899255,2.0,1,2.0,395,2,2.0,3
1112.0,77.6092535,12.9013972,4.0,1,2.0,618,0,3.0,0
1500.0,77.62482376,12.98279552,2.0,2,3.0,731,2,1.0,1
1400.0,77.75126972,12.94314596,4.0,2,3.0,744,2,1.0,0
600.0,77.56348985,12.99262554,3.0,1,2.0,611,2,1.0,3
625.0,77.6447785,12.98609467,2.0,0,1.0,503,2,1.0,2
1050.0,77.71582794,12.95337677,4.0,1,2.0,499,2,0.0,0
1200.0,77.6551929,12.9717571,3.0,1,2.0,559,2,1.0,0
750.0,77.58773867,12.92869675,1.0,0,2.0,361,2,1.0,3
1500.0,77.66557117,12.92562298,12.0,1,2.0,137,2,6.0,0
650.0,77.612405,12.980244,2.0,1,1.0,407,2,0.0,0
2000.0,77.64276267,12.91588863,2.0,1,2.0,654,2,0.0,3
2100.0,77.51093975,12.9272056,4.0,2,2.0,597,2,4.0,0
1100.0,77.620085,12.99808168,5.0,1,2.0,193,2,1.0,3
514.0,77.7167188,12.9526644,4.0,0,1.0,720,2,2.0,0
1500.0,77.53438264,12.98865587,2.0,2,3.0,128,2,0.0,1
1500.0,77.672045,12.9636649,1.0,1,2.0,766,1,0.0,3
800.0,77.53027063,12.96660089,2.0,1,1.0,762,2,0.0,3
790.0,77.7590214,12.9977114,0.0,1,2.0,393,2,0.0,3
910.0,77.68946984,12.94911022,5.0,1,2.0,135,2,3.0,0
1200.0,77.66598338,12.96979141,2.0,1,2.0,559,1,2.0,2
1675.0,77.7499467,12.9697999,8.0,2,2.0,775,2,7.0,0
1500.0,77.66074483,12.95688466,2.0,1,1.0,435,2,2.0,1
575.0,77.70926501,12.95051073,3.0,0,1.0,520,2,2.0,0
1526.0,77.6991856,12.9933321,14.0,2,2.0,484,2,14.0,0
1205.0,77.72027062,12.93839236,14.0,1,2.0,98,2,6.0,0
1400.0,77.64497513,12.98578251,3.0,2,3.0,325,2,1.0,2
750.0,77.60916271,12.94168991,3.0,0,2.0,49,2,0.0,3
850.0,77.5197376,12.97700411,2.0,1,2.0,572,2,0.0,3
677.0,77.6660118,12.9178091,3.0,0,1.0,135,1,1.0,0
600.0,77.5291932,12.96789371,0.0,1,2.0,762,1,0.0,0
1350.0,77.53574891,12.96740455,3.0,1,2.0,763,2,0.0,0
1200.0,80.1112313,12.9371762,2.0,0,2.0,773,2,2.0,0
1500.0,77.70656542,12.95351449,4.0,2,3.0,520,2,3.0,0
1200.0,77.63707436,12.92766246,1.0,1,2.0,438,2,0.0,3
1350.0,77.6725594,12.9277307,4.0,2,2.0,260,2,1.0,0
1100.0,77.7566906,12.98126269,2.0,1,2.0,775,2,1.0,0
1500.0,77.53548624,12.93539768,2.0,2,3.0,102,2,1.0,3
2000.0,77.68154996,12.90562355,2.0,2,3.0,285,2,1.0,0
1195.0,77.75827934,12.97469921,5.0,1,2.0,775,2,4.0,0
1050.0,77.70378349,12.94955364,5.0,1,2.0,499,2,2.0,0
900.0,77.5857168,12.910491,7.0,1,2.0,337,1,2.0,0
1100.0,77.5363365,12.9781445,2.0,1,2.0,256,1,1.0,3
950.0,77.58414,12.90253,4.0,1,2.0,337,2,3.0,0
550.0,77.67321644,12.99378821,3.0,0,1.0,484,2,2.0,3
2100.0,77.7164282,12.9141041,10.0,2,3.0,512,2,1.0,0
1100.0,77.55595869,12.98464319,2.0,1,2.0,604,2,0.0,3
1000.0,77.55080987,12.92659023,4.0,1,2.0,102,2,1.0,3
450.0,77.60815449,12.90697851,4.0,0,1.0,86,2,3.0,3
600.0,77.65239042,12.91220403,1.0,0,1.0,273,1,0.0,3
650.0,77.63055631,12.90494443,1.0,1,1.0,497,2,1.0,3
900.0,77.61012765,12.94370449,2.0,1,2.0,49,2,1.0,3
1700.0,77.66523548,12.92552668,10.0,2,2.0,35,2,10.0,0
1190.0,77.7553148,12.9631918,4.0,1,2.0,320,2,2.0,0
1130.0,77.7576357,12.9750722,4.0,1,2.0,775,2,1.0,0
1350.0,77.61920454,12.90471688,4.0,1,2.0,149,2,1.0,0
1149.0,77.7093136,12.9496386,4.0,1,2.0,520,2,1.0,0
2395.0,77.7551868,12.9826432,15.0,2,4.0,61,2,15.0,1
1100.0,77.6133875,12.90814688,2.0,1,2.0,89,2,2.0,3
600.0,77.54157595,12.96259413,2.0,1,1.0,762,2,1.0,3
2300.0,77.5606975,12.9267883,4.0,2,3.0,110,2,0.0,0
800.0,77.74754942,12.94318829,4.0,1,2.0,744,2,0.0,0
1700.0,77.59668768,12.92168946,2.0,2,2.0,361,2,1.0,0
700.0,77.63292216,12.90758201,3.0,0,1.0,273,2,2.0,3
500.0,77.6795619,12.9990879,2.0,0,1.0,484,2,2.0,3
1100.0,77.6422644,12.9811724,3.0,1,2.0,325,2,1.0,3
1320.0,77.68262501,12.97146611,3.0,1,2.0,122,0,1.0,3
800.0,77.55112101,12.92660068,3.0,1,2.0,102,2,3.0,3
1190.0,77.634471,12.9344709,7.0,1,2.0,164,2,7.0,1
1200.0,77.54561236,12.97003179,3.0,2,3.0,763,2,2.0,0
850.0,77.50605975,12.96319907,1.0,1,1.0,539,2,1.0,3
1100.0,77.74439625,12.93890166,5.0,1,2.0,744,2,2.0,3
600.0,77.61204402,12.90869846,4.0,1,2.0,89,2,2.0,3
2000.0,77.64130433,12.97287639,4.0,2,3.0,325,2,0.0,0
800.0,77.60555081,12.91742524,2.0,1,2.0,90,2,1.0,3
900.0,77.57112047,12.92214511,3.0,1,1.0,103,1,0.0,3
1200.0,77.74370057,12.9427652,3.0,1,2.0,744,2,2.0,0
1400.0,77.7019577,12.9958086,14.0,1,2.0,311,2,0.0,1
550.0,77.63221503,12.91202317,3.0,0,1.0,273,2,2.0,3
670.0,77.55354451,12.91894305,1.0,1,2.0,565,2,0.0,3
2400.0,77.6786656,12.9041209,1.0,2,2.0,409,2,0.0,1
1400.0,77.58674206,12.93076441,1.0,2,2.0,361,2,0.0,3
1250.0,77.6529189,12.9749149,5.0,1,2.0,559,2,1.0,1
1200.0,77.55006413,12.91461222,4.0,1,2.0,184,2,0.0,0
2100.0,77.7208853,12.9689968,4.0,3,4.0,462,2,4.0,0
1500.0,77.64955826,12.94379307,4.0,1,2.0,166,0,1.0,0
500.0,77.64428516,12.98590643,1.0,0,1.0,664,2,1.0,3
800.0,77.5923012,12.91643353,2.0,2,1.0,337,2,1.0,3
1280.0,77.66494903,12.97470241,4.0,2,3.0,158,2,1.0,0
1200.0,77.64064179,12.99800358,2.0,1,2.0,120,2,0.0,0
700.0,77.56484151,12.94136001,2.0,1,1.0,292,2,1.0,3
960.0,77.63776475,12.92285335,5.0,1,2.0,438,2,1.0,3
400.0,77.64162103,12.90588862,4.0,5,1.0,273,2,4.0,3
750.0,77.67239738,12.96704695,2.0,0,1.0,267,2,0.0,0
800.0,77.70290317,12.94993789,3.0,1,2.0,499,2,0.0,3
1500.0,77.59617177,12.95126797,2.0,1,2.0,778,2,1.0,2
700.0,77.6338792,12.9754815,2.0,1,2.0,325,2,1.0,3
750.0,77.5855713,12.9173268,3.0,0,1.0,223,1,0.0,2
600.0,77.58548846,12.90011249,3.0,0,1.0,340,2,3.0,3
600.0,77.67355046,12.97510116,4.0,0,1.0,395,2,0.0,3
700.0,77.5485074,12.9503186,3.0,1,2.0,558,2,0.0,3
1200.0,77.68280837,12.99938155,1.0,1,2.0,75,2,0.0,3
1000.0,77.54213686,12.93928948,1.0,1,1.0,102,2,0.0,3
600.0,77.65369039,12.97235519,3.0,1,2.0,559,2,1.0,3
1350.0,77.55537321,12.91767227,2.0,1,1.0,565,2,0.0,3
500.0,77.52189162,12.97360382,3.0,0,1.0,762,2,3.0,3
1100.0,77.6757686,12.9812211,4.0,1,2.0,395,2,1.0,0
900.0,77.543857,12.94061541,2.0,1,2.0,251,2,1.0,3
1100.0,77.52811125,12.9515697,1.0,1,2.0,200,2,1.0,3
600.0,77.64465978,12.97139824,1.0,0,1.0,325,2,1.0,1
800.0,77.54045618,12.95702571,1.0,1,2.0,121,2,1.0,2
1000.0,77.5405384,12.9980336,2.0,1,2.0,128,2,0.0,0
500.0,77.64410577,12.94982873,2.0,1,1.0,166,2,2.0,3
1700.0,77.65565735,12.96779713,3.0,2,3.0,559,2,3.0,0
400.0,77.58595462,12.90080346,4.0,0,1.0,341,2,1.0,3
950.0,77.58344812,12.90291656,3.0,1,2.0,337,2,3.0,0
600.0,77.56913643,12.90458064,2.0,1,2.0,456,2,1.0,3
600.0,77.70271615,12.95928495,4.0,5,1.0,499,1,4.0,3
700.0,77.7492138,12.9425787,2.0,0,2.0,744,2,2.0,0
1200.0,77.5082833,12.9599448,3.0,1,2.0,543,2,1.0,2
1350.0,77.53467052,12.95478173,2.0,2,3.0,72,2,2.0,3
1210.0,77.6289575,12.9979438,4.0,1,2.0,308,2,3.0,0
1720.0,77.75076788,12.96630552,4.0,2,3.0,775,2,2.0,0
750.0,77.74057476,12.94205037,1.0,1,2.0,744,2,0.0,3
1000.0,77.56188529,12.90297483,4.0,1,2.0,456,2,0.0,3
1120.0,77.72388458,12.9618206,4.0,1,2.0,151,2,1.0,0
1000.0,77.55648865,12.91548026,4.0,1,2.0,565,2,1.0,0
1300.0,77.56586086,12.93435458,3.0,1,2.0,124,2,2.0,0
1200.0,77.72371419,12.99898078,0.0,1,2.0,430,1,0.0,0
1100.0,77.7389568,12.9274761,4.0,1,2.0,262,2,1.0,0
1700.0,77.56739931,12.92087649,2.0,2,2.0,80,2,0.0,0
1200.0,77.51441006,12.95487755,2.0,1,2.0,539,2,0.0,0
1400.0,77.7122996,12.9629354,3.0,2,3.0,41,2,2.0,0
300.0,77.613833,12.921572,3.0,0,1.0,89,2,1.0,2
